"V1" "V2"
"1" -0.0720406025112771 0.26094587371538
"2" -0.0954546155780223 0.23545019751168
"3" -0.118412264998146 0.201387264175131
"4" -0.148378725578938 0.160477392108197
"5" -0.172062989808147 0.11584921487388
"6" -0.164193003880183 0.0611429004637634
"7" -0.12634562311284 0.0105750003543174
"8" -0.104010690430108 -0.0509577646328335
"9" -0.106980350365614 -0.123885895088832
"10" -0.107671996160191 -0.184490788979742
"11" -0.066991620782748 -0.221192299635659
"12" -0.0223608441861107 -0.249958265671651
"13" 0.0389799483615035 -0.259431599136541
"14" 0.119173396366572 -0.240640619997212
"15" 0.175626532622897 -0.175864744557055
"16" 0.196583419526071 -0.0928131537910398
"17" 0.194441456897625 -0.0147823652838034
"18" 0.171303890880393 0.0575126667307646
"19" 0.151112523095804 0.121697678230522
"20" 0.133532089845333 0.177149141817925
"21" 0.124150069796127 0.211830166792809
