"V1" "V2"
"1" -26.103083192199 457.160867185424
"2" -275.456455061244 157.361159814604
"3" -167.457549256776 206.143576931013
"4" -55.7396858691733 168.620742120558
"5" 39.4754760447933 172.640852148288
"6" 135.845176458340 226.142964758383
"7" 245.74454020752 193.510434206663
"8" -208.637969484868 120.722979718891
"9" -151.878694808624 148.736159746398
"10" -79.3909045747996 116.286524230629
"11" -149.062367925927 108.186378160725
"12" 61.0859652360521 123.335224326561
"13" 131.660748241105 167.837674922413
"14" 188.142314465760 147.886863475593
"15" 135.817368767714 127.342915817296
"16" -54.5643927480523 -11.8409683552066
"17" -74.0713065839739 -56.128783067068
"18" 8.53954120960992 -90.8745680613977
"19" 85.2449293592018 -42.9486976396210
"20" 58.4879006422639 -2.54171916939114
"21" -105.693812623615 -180.638964915199
"22" -15.5386328318976 -147.251801226031
"23" 10.3487504917927 -157.999653066475
"24" 36.0826809981527 -144.429081843454
"25" 126.667498970193 -165.602610238248
"26" 13.8059663217555 -182.612098402601
"27" 16.2658972530701 -220.22800330645
"28" -327.633758327351 58.4028119250458
"29" -270.89846957244 -187.990510560092
"30" -87.2657992745219 -355.54915177224
"31" 30.7606931451695 -376.037235724039
"32" 130.947547418258 -341.722610564765
"33" 283.25823995878 -140.479971532116
"34" 311.21164694593 104.558299955913
