"V1" "V2"
"1" -0.00261512507827244 -0.0778116160997351
"2" 0.0768535941863289 -0.0569180069423525
"3" -0.172170776054943 -0.131939718174594
"4" 0.292920191291059 0.0278144127749900
"5" 0.201122506571680 0.0170137425562993
"6" -0.164432021970120 -0.0851328872987145
"7" -0.316898257381355 -0.122985198883964
"8" 0.278779844786218 0.0815695183125622
"9" -0.277190305168406 -0.0891513142540598
"10" -0.259985989643651 -0.0835577360768692
"11" -0.156035997343220 -0.0462661163624746
"12" 0.383238511903089 0.114439022765697
"13" 0.163726301838881 0.101377440463336
"14" 0.273310864333806 0.139557111747845
"15" -0.213816708614546 -0.00694125556638066
"16" 0.0969941634550771 0.106528305978933
"17" -0.0723772210705026 0.0626918181337615
"18" -0.131423576041125 0.0497124769257193
