"V1" "V2"
"1" -2.21537103313094 -0.422305982653033
"2" -2.7220553967497 -1.43676717062711
"3" -3.64164630051432 -2.31141022948799
"4" -4.78140193625888 -3.24494458473776
"5" -5.95076229888829 -3.96868292909596
"6" -6.66366820467505 -5.50380923885564
"7" -6.35414764566353 -7.76291656564346
"8" -5.81543430004969 -9.86729159050458
"9" -5.40095691594319 -12.3141004676808
"10" -5.08535823278571 -14.5642541564377
"11" -4.15539454798285 -16.2587944085393
"12" -3.04132648451965 -17.0511319243014
"13" -1.92681867749642 -17.7503947625616
"14" -0.586112602423585 -17.4904783732823
"15" 0.336429049778918 -15.7412862121499
"16" 0.670739882473984 -13.4341261263283
"17" 0.953632859150344 -11.2668889537640
"18" 1.03348030264742 -8.97852981604602
"19" 1.07483624758987 -6.80113742957625
"20" 1.07910819374489 -4.75906280130982
"21" 0.760151713370797 -3.26597531253319
